ChargingTime,VoltageSlope,VoltageStd,VoltageKurtosis,VoltageSkewness,VoltageEntropy,VoltageCurvature,Normalized Capacity
3598.0,0.00012626394481039503,0.1312635201791394,-1.2419516205757803,-0.026752719018721106,6.624495549217481,-1.4094920776619382e-09,1.0178493264663426
3600.0,0.0001295708866761484,0.14038278322438905,-1.1071534399167455,0.0367431314171807,1.580664704097094,1.5592515592518882e-09,1.0168903673895222
3500.0,0.00013047490347490277,0.13759598958256872,-1.11168632590675,0.03181933888244677,1.5816190528451362,1.3753581091046022e-09,1.0159432596677458
3600.0,0.0001311996206733025,0.14215966154071052,-1.105687167949646,0.043267047935330274,1.580664704097094,1.9101808575494086e-09,1.0150087029722918
3600.0,0.0001313110478899943,0.14228211307012456,-1.1045998018752405,0.043043551304562166,1.580664704097094,1.8994992679203767e-09,1.014087396974439
3500.0100000000093,0.00013094283239965433,0.13809820234913808,-1.1074970290570696,0.03337069443820803,1.5816190528451362,1.4547106007851024e-09,1.0131800413454668
3600.0,0.0001315694642010403,0.14256187740377468,-1.1049181901059641,0.0416365217553575,1.580664704097094,1.8419228945547195e-09,1.0122873357566524
3600.0,0.00013170697012802562,0.14271447691780226,-1.1028854318640184,0.04256482200831378,1.580664704097094,1.880480827849387e-09,1.0114099798792757
3600.0,0.00013175912754860315,0.14276687774614033,-1.1063286888897719,0.04214364829400897,1.580664704097094,1.8721439774071755e-09,1.010548673384615
3500.0100000000093,0.000131343193496569,0.13852684113299385,-1.1033395036992084,0.030432931420921096,1.5816190528451362,1.317531302659571e-09,1.009704115943949
3500.0,0.00013149549549549674,0.138681260678911,-1.1024584382026787,0.03141355761058524,1.5816190528451362,1.3599180781842243e-09,1.0088770072285564
3600.0,0.00013201043148411475,0.14304003618550976,-1.1028297372426787,0.039083596948138406,1.580664704097094,1.7257280415177537e-09,1.0080680469097163
3600.0,0.00013210763394974254,0.14314777953844335,-1.0994386480610834,0.03956312866879718,1.580664704097094,1.7457885878942767e-09,1.0072779346587069
3600.0,0.00013222854433381036,0.1432783730790945,-1.1029475748828372,0.03954603501796272,1.580664704097094,1.755949124370529e-09,1.0065073701468068
3600.0,0.0001323352299668094,0.14339400559591342,-1.103228606561809,0.0368020127694768,1.580664704097094,1.631156894315192e-09,1.005757053045295
3600.0,0.00013237553342816213,0.14343447091772413,-1.1030633031758437,0.04035005058467167,1.580664704097094,1.800238642343972e-09,1.0050276830254503
3600.0,0.0001325225225225211,0.14359376612398483,-1.10121846178502,0.03943790963370257,1.580664704097094,1.7533438586070608e-09,1.0043199597585515
3600.0,0.00013266714082503604,0.14375079057100792,-1.1028410204071257,0.039237802823729656,1.580664704097094,1.7504780662676693e-09,1.0036345829158768
3600.0,0.00013258179231863537,0.14366074066497223,-1.1001427911281536,0.03903923505758556,1.5776623731297441,1.735888577993925e-09,1.0029722521687052
3600.0,0.00013279516358463345,0.1438953678089634,-1.099043198937361,0.03815208421468237,1.580664704097094,1.6942043257836206e-09,1.0023336671883152
3600.0,0.00013295637743006116,0.1440645344631706,-1.102379228361743,0.038169429175725564,1.5776623731297441,1.7077517077517305e-09,1.0017195276459858
3600.0,0.00013298956851588668,0.14410552002231175,-1.0993563008595224,0.03926617416764391,1.580664704097094,1.7530833320310176e-09,1.0011305332129954
3600.0,0.00013306543385491136,0.14418634714390505,-1.1006992940031317,0.03811544002503974,1.580664704097094,1.7051464419884693e-09,1.000567383560623
3600.0,0.0001331697486960664,0.1442918349513708,-1.1040979302825666,0.03524348686389651,1.580664704097094,1.5733199943727508e-09,1.0000307783601472
3600.0,0.00013319345661451116,0.14432017292226448,-1.1014820927516025,0.03607907113672368,1.5776623731297441,1.608230555599183e-09,0.9995214172828466
3599.239999999758,0.00012990671538943546,0.13512253519789938,-1.2164784907797153,-0.04205745832522205,6.6244800747794725,-2.2779097826921655e-09,0.9981500490030911
3600.0,0.00013331673779042296,0.14445018468612578,-1.1050764274458558,0.03165325704768658,1.5776623731297441,1.4039777197675709e-09,0.9977361813217496
3600.0,0.00013336415362731247,0.14450790994279877,-1.1013223036684092,0.029797109207573884,1.5776623731297441,1.3039355144621191e-09,0.997341054693598
3500.0099999997765,0.00013321442936434908,0.14049459120809657,-1.0997685353135973,0.023607226754857272,1.5816190528451362,1.0102366534693049e-09,0.9969631709999731
3500.010000000242,0.0001332893550700249,0.140577640526056,-1.0957328840184972,0.025787537127701536,1.5816190528451362,1.1109138207069926e-09,0.9966010321222109
3600.0,0.00013379326695116216,0.1449716188440699,-1.101666011162189,0.0335970415671291,1.5776623731297441,1.4969857075119653e-09,0.9962531399416475
3600.0,0.00013396870554765387,0.14515932532817086,-1.1030628534402909,0.03136655102749744,1.5776623731297441,1.400069821122558e-09,0.9959179963396195
3500.0,0.00013378249678249837,0.14109923053348963,-1.0956789980393893,0.024613089473021203,1.5816190528451362,1.057592311462036e-09,0.9955941031974629
3600.0,0.00013424845898529585,0.14546049895678476,-1.1013318802295735,0.03193390528253618,1.5776623731297441,1.4250803724488926e-09,0.995279962396514
3600.0,0.00013424371740160785,0.14545452732562003,-1.1013238286603195,0.03011115194317375,1.5776623731297441,1.337022389653807e-09,0.9949740758181091
3500.0,0.00013401415701415649,0.14134432515657727,-1.0968492690309941,0.028139112751869706,1.5816190528451362,1.2402827418300808e-09,0.9946749453435847
3600.0,0.00013430535798956853,0.1455220590483438,-1.103565361984638,0.03200620082176763,1.5776623731297441,1.4349803823490397e-09,0.9943810728542766
3600.0,0.00013445708866762025,0.14569094979734612,-1.1027664332655573,0.032095427685797255,1.5776623731297441,1.4417540733331415e-09,0.9940909602315212
3600.0,0.00013450213371266336,0.1457386539503341,-1.1020091879216973,0.03365090848985512,1.5776623731297441,1.5149620412779406e-09,0.993803109356655
3600.0,0.00013450687529635138,0.1457453041908853,-1.101409048973458,0.0316732384638146,1.5776623731297441,1.4185672080411989e-09,0.9935160221110139
3600.0,0.00013463252726410717,0.14587903788308207,-1.1037210349944917,0.03176139883773478,1.5776623731297441,1.4282066913646163e-09,0.9932282003759344
3600.0,0.0001345922238027544,0.1458351016623806,-1.1028090720204358,0.031771829466186625,1.5776623731297441,1.4289882710940911e-09,0.9929381460327528
